,name,year,genre,rate,voter,director,star,country,company,budget,gross
273,Trained in the Ways of Men,(2007), Documentary            ,6.5,57,Michelle Prevost,"Sylvia Guerrero,Tony Serra,Michael Thorman,",USA,"Reel Freedom Films,See more »,","$500,000",
274,Hazman havarod,(2009), Documentary            ,6.3,19,Yair Qedar,"Michal Eden,Ellyot,Uzi Even,|,See full cast & crew,",Israel,"Norma Productions,See more »,","$150,000",
275,Amor a paso de gigante,(2016), Documentary            ,0.0,0,Maria Audras,"Mariela Muñoz,Luis Muñoz,Mercedes Rodriguez,|,See full cast & crew,","Argentina,France","Bjoca Productions,See more »,",,
276,Annie,(I) (2017), Documentary            ,0.0,0,Mark France,"Todd Ditch,Annie Sue Ditch,Evelyn Ditch,|,See full cast & crew,",USA,"Crooked Limb Studio & Productions,See more »,","$75,000",
277,Sir: Just a Normal Guy,(2002), Drama            ,0.0,0,Melanie La Rosa,,USA,,,
278,Pier Kids: The Life,(2015), Documentary            ,0.0,0,Elegance Bratton,"Krystal Dixon,DeSean Irby,Krystal LaBeija,|,See full cast & crew,",USA,,"$43,050",
279,Dancing in Isolation,(2010), Documentary            ,1.9,13,Tonjia Atomic,"Rhys Henley,Aiden Karamanyan,Josh Phenicie,",USA,,,
280,Whisper Leigh,(2008), Documentary            ,0.0,0,Vertna Bradley,,USA,,,
281,Dui Dhuranir Golpo,(2012), Drama            ,8.0,8,Sankhajit Biswas,"Bubai,Chiranjit,",India,"Moromiya Pictures,See more »,","$75,000",
282,Enough Man,(2006), Documentary            ,4.6,9,Luke Woodward,,USA,,,
283,Hatzaga Yomit,(2011)," Documentary, Adventure, Comedy            ",0.0,0,Einat Fernbach,"Tal Kallai,Myrav Osofsky,Hilla Fruchter,|,See full cast & crew,",Israel,,,
284,Claudette,(2009), Documentary            ,0.0,0,Sylvie Cachin,,Switzerland,,,
285,Mohammed to Maya,(2012)," Documentary, Family, History            ",7.2,6,Jeff Roy,"Kevin Alexander Stea,Maya Jafer,Jeff Roy,|,See full cast & crew,","USA,Thailand",,,
286,Legalize Gay,(2011), Documentary            ,6.0,12,Christopher Hines,"Robin Brand,Claire Buffie,Ben Cohen,|,See full cast & crew,",USA,"Rogue Culture Productions,See more »,","$150,000",
287,Born Equal,(2012)," Documentary, Biography, Drama            ",4.8,5,,,USA,,,
288,Tintenfischalarm,(2006), Drama            ,5.3,23,Elisabeth Scharang,"Alex Jurgen,Elisabeth Scharang,",Austria,"Wega Film,See more »,","€500,000",
289,Thy Will Be Done,(2010), Documentary            ,0.0,0,Alice Bouvrie,,USA,,,
290,Limits to Ambition,(2006), Documentary            ,6.0,22,Mason Stone,"Reiner Prochaska,Douglas Cathro,Carl Randolph,|,See full cast & crew,",USA,"Urbane Legends Entertainment,See more »,","$15,739",
291,Wariazone,(2011), Drama            ,6.5,8,,,Estonia,"KIWA & CECE,See more »,","€2,000",
292,A Few Good Dykes,(2004)," Comedy, Musical, Sci-Fi            ",0.0,0,Mocha Jean Herrup,,USA,"Not A Tough Guy Productions,See more »,",,
293,Clayton & Claudia,(2015)," Documentary, Music            ",5.4,14,Bobby Shue,"Nancy Almaguer,Derek Baiza,Seneatria Bryant,|,See full cast & crew,",USA,,,
294,The Genderfellator,(2011), Documentary            ,0.0,0,Tobi Hill-Meyer,"Texas .,James Darling,Gloria Divine,|,See full cast & crew,",USA,,,
295,Riot Acts: Flaunting Gender Deviance in Music Performance,(2010), Documentary            ,8.0,15,Madsen Minax,"Rahne Alexander,Kristen Anchor,Radford Bishop,|,See full cast & crew,",USA,,,
296,Translatina,(2010)," Comedy, Drama, Musical            ",0.0,0,Felipe Degregori,,Peru,"Buenaletra Producciones,See more »,",,
297,Xenia: en vognmands bekendelser,(2016), Documentary            ,0.0,0,Iben Haahr Andersen,,Denmark,"Bullitt Film,See more »,",,
298,Lullaby,(II) (2009), Documentary            ,0.0,0,Ben Westbrook,"April Brucker,Manuel de la Portilla,Georgia Kate Haege,|,See full cast & crew,",USA,,,
299,Trans*cend,(2017)," Documentary, Music            ",0.0,0,Shelby F. Elwood,,USA,"Cobrainey Media Partners,See more »,",,
300,Nessuno è perfetto!,(2013), Documentary            ,0.0,0,Fabiomassimo Lozzi,"Antonio Veneziani,Porpora Marcasciano,Leila Pereira Daianis,|,See full cast & crew,",Italy,"Ar.Pa. Film,See more »,","€26,000",
301,Touchstone: Dancing with Angels,(2008), Documentary            ,0.0,0,D.S. Fine,,USA,"Immediate Impressions,See more »,","$7,000",
302,Deconstructing Zoe,(2016), Documentary            ,8.6,7,Rosa Fong,,UK,"Banana Skin Films,See more »,","£45,000",
303,Sole Journey,(2009)," Documentary, Music            ",0.0,0,,"Chad Allen,James Dobson,Martin Luther King,|,See full cast & crew,",USA,,,
304,Running in Heels: The Glendon Anna Conda Hyde Story,(2011)," Documentary, Biography, Comedy            ",6.2,6,Dain Percifield,,USA,,,
305,U People,(2009), Documentary            ,7.0,8,,"DJ Ayden,Nakita Bermudez,Tara Bethea,|,See full cast & crew,",USA,"U People LLC,U People,See more »,",,
306,Entre il et ailes - Devenir femme à 60 ans,(2012), Documentary            ,0.0,0,,,"Switzerland,Thailand","Laurence Périgaud,See more »,","CHF 180,000",
307,Subject to Change,(I) (2015), Drama            ,0.0,0,Janet Jensen,,USA,,"$45,000",
308,Transfigurations: Transgressing Gender in the Bible,(2017), Documentary            ,0.0,0,Samuel Neff,,USA,,"$15,000",
309,God Wears My Underwear,(2005), Documentary            ,6.5,26,Leslie Streit,"Joel Bischoff,Frances Bockenfeld,Archie Bryan,|,See full cast & crew,",USA,"Cinematiks,See more »,","$190,000",
310,Lost in the Crowd,(2010), Documentary            ,6.6,14,Susi Graf,"Kimy Hartman,Jazmine Perez,Alex Rios,|,See full cast & crew,",USA,,,
311,My Uncle Gloria,(2014), Documentary            ,0.0,0,Robyn Symon,,USA,"Symon Productions,See more »,","$350,000",
312,Mi Reflejo,(2016), Documentary            ,0.0,0,,,Spain,,,
313,WhatEver Will Be,(2013)," Documentary, Biography, Drama            ",0.0,0,Esther Prade,"Cilla van Opstal,Ilona Willemars,Esther Prade,",Netherlands,"Memphis Film & Television,See more »,",,
314,Mädchen oder Junge? Aufwachsen als Transgender-Kind,(2017), Documentary            ,0.0,0,Norbert Luebbers,,Germany,"Alpha Container Pictures,See more »,",,
315,Jay,(I) (2016)," Documentary, Biography, Drama            ",0.0,0,Nickolas Duarte,"Drew Grubich,Stephanie Ingmire,Pat Kaye,|,See full cast & crew,",USA,"Crown Chimp Films,See more »,",,
316,Straight White Male,(I) (2011), Documentary            ,0.0,0,Tyler Erlendson,,USA,,,
317,The Cookie Project,(2003)," Comedy, Drama            ",0.0,0,Stephanie Wynne,,USA,,,
318,The Correction,(2010)," Documentary, Drama            ",0.0,0,Maureen Maher,,USA,,,
319,Bahar,(2004), Documentary            ,0.0,0,Hüseyin Karagöz,,Turkey,,"$30,000",
320,La Vida Que Elegimos,(2017), Documentary            ,0.0,0,Rocke Killingan,"Adalid Chávez,Alan García,Hugo Medina,|,See full cast & crew,",Mexico,"RK Films,See more »,","MXN 354,950",
321,O sei uomo o sei donna... chiaro?,(2010), Documentary            ,0.0,0,Enrico Vanni,"Luai Abukalam,Francesco Albanese,Milena Argento,|,See full cast & crew,",Italy,"McKenzie Bros,See more »,","€10,000",
322,"Risk, Stretch or Die",(2008), Documentary            ,0.0,0,Saskia Heyden,,Germany,,,
323,"Louis(e) de Ville, portrait d'une bad girl",(2012),,0.0,0,Chriss Lag,"Louise De Ville,Wendy Delorme,Émilie Jouvet,|,See full cast & crew,",France,"Push Productions,See more »,",,
324,La Dany: The Diva of Bolivar Park,(2010),,0.0,0,,,"Canada,Colombia","Brother & Sister Productions,See more »,","CAD 70,000",
325,Lead with Love: A Documentary Film by Logan Lynn,(2017),,0.0,0,Logan Lynn,"Logan Lynn,Tim Smith,Dawn Menken,",USA,"PCM Productions,See more »,","$15,000",
